company,region_2021,sector_2021,re100_2021,sbti_2021,cn_2021,nz_2021,cc_2021,region_2022,sector_2022,re100_2022,sbti_2022,cn_2022,nz_2022,cc_2022,region_2023,sector_2023,re100_2023,sbti_2023,cn_2023,nz_2023,cc_2023,region_2024,sector_2024,re100_2024,sbti_2024,cn_2024,nz_2024,cc_2024,region_2025,sector_2025,re100_2025,sbti_2025,cn_2025,nz_2025,cc_2025
america movil,,,,,,,,,,,,,,,,,,,,,,North America,Telecommunications and media,,1.0,,,,Other,Telecommunications and media,,,,1.0,
anz group holdings,,,,,,,,,,,,,,,,,,,,,,Other,Financial services,1.0,,,1.0,,Other,Financial services,1.0,,,,1.0
apollo global management,,,,,,,,,,,,,,,,,,,,,,North America,Financial services,,,1.0,,1.0,,,,,,,
bank of new york mellon,,,,,,,,,,,,,,,,,,,,,,North America,Financial services,,,1.0,,1.0,,,,,,,
brookfield,,,,,,,,,,,,,,,,,,,,,,North America,Financial services,,,,1.0,,North America,Financial services,,,,1.0,1.0
canadian imperial bank of commerce,,,,,,,,,,,,,,,,,,,,,,North America,Financial services,,,,1.0,1.0,North America,Financial services,,,,1.0,1.0
cencora,,,,,,,,,,,,,,,,,,,,,,North America,Retail,,1.0,,,,North America,Health care and pharmaceuticals,,1.0,,,
cfe,,,,,,,,,,,,,,,,,,,,,,North America,Industrial goods,,,,,,Other,Energy and utilities,,,,,
crédit mutuel group,,,,,,,,,,,,,,,,,,,,,,Europe,Financial services,,,,1.0,,Europe,Financial services,,,,1.0,1.0
cummins,,,,,,,,,,,,,,,,,,,,,,North America,Industrial goods,,1.0,,1.0,,North America,Industrial goods,,1.0,,1.0,
dhl group,,,,,,,,,,,,,,,,,,,,,,Europe,Transportation and logistics,,1.0,,1.0,,Europe,Transportation and logistics,,1.0,,1.0,1.0
emirates group,,,,,,,,,,,,,,,,,,,,,,Asia,Transportation and logistics,,,,,,Other,Transportation and logistics,,,,,
fairfax financial holdings,,,,,,,,,,,,,,,,,,,,,,North America,Financial services,,,,,,North America,Financial services,,,,,
hangzhou industrial investment group,,,,,,,,,,,,,,,,,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,,,
hdfc bank,,,,,,,,,,,,,,,,,,,,,,Asia,Financial services,,,,,,Asia,Financial services,,,1.0,,
heineken,,,,,,,,,,,,,,,,,,,,,,Europe,"Food, beverages and agriculture",1.0,1.0,,1.0,,Europe,"Food, beverages and agriculture",1.0,1.0,,1.0,1.0
jerónimo martins,,,,,,,,,,,,,,,,,,,,,,Europe,"Food, beverages and agriculture",,1.0,,1.0,,Europe,Retail,,1.0,,1.0,1.0
landesbank baden-wurttemberg,,,,,,,,,,,,,,,,,,,,,,Europe,Financial services,,,,1.0,,Europe,Financial services,,,,1.0,1.0
national australia bank,,,,,,,,,,,,,,,,,,,,,,Other,Financial services,1.0,,,1.0,1.0,Other,Financial services,1.0,,,1.0,1.0
nestle,,,,,,,,,,,,,,,,,,,,,,Europe,"Food, beverages and agriculture",1.0,1.0,,1.0,1.0,,,,,,,
novo nordisk,,,,,,,,,,,,,,,,,,,,,,Europe,Health care and pharmaceuticals,1.0,1.0,,1.0,,Europe,Health care and pharmaceuticals,1.0,,,1.0,1.0
nvidia,,,,,,,,,,,,,,,,,,,,,,North America,Technology,,,,,,North America,Technology,,1.0,,,
orlen,,,,,,,,,,,,,,,,,,,,,,Europe,Oil and gas,,,,1.0,,Europe,Oil and gas,,,,1.0,
paccar,,,,,,,,,,,,,,,,,,,,,,North America,Automotive,,1.0,,,,North America,Engineering and construction,,1.0,,,
pdd holdings,,,,,,,,,,,,,,,,,,,,,,Asia,Retail,,,,,,Asia,Retail,,,,,
posco holdings,,,,,,,,,,,,,,,,,,,,,,Asia,Metals and mining,,,1.0,,,Asia,Metals and mining,,,,1.0,1.0
rabobank group,,,,,,,,,,,,,,,,,,,,,,Europe,Financial services,,,,,,Europe,Financial services,,,,,
raizen,,,,,,,,,,,,,,,,,,,,,,Other,Oil and gas,,,,,,Other,Oil and gas,,,,,
schlumberger,,,,,,,,,,,,,,,,,,,,,,North America,Oil and gas,,,,1.0,1.0,North America,Oil and gas,,,,1.0,
societe generale,,,,,,,,,,,,,,,,,,,,,,Europe,Financial services,,,1.0,,1.0,Europe,Financial services,,,1.0,,
standard chartered,,,,,,,,,,,,,,,,,,,,,,Europe,Financial services,1.0,,,1.0,1.0,Europe,Financial services,1.0,,,1.0,1.0
visa,,,,,,,,,,,,,,,,,,,,,,North America,Financial services,1.0,1.0,1.0,,1.0,North America,Financial services,1.0,1.0,,1.0,1.0
vtb bank,,,,,,,,,,,,,,,,,,,,,,Asia,Financial services,,,,,,Europe,Financial services,,,1.0,,
rewe group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,Retail,,,,1.0,1.0
ntt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,Telecommunications and media,,1.0,,1.0,1.0
nippon steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,Metals and mining,,,1.0,,1.0
bunge global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,"Food, beverages and agriculture",,1.0,,,
ingram micro holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,Industrial goods,,1.0,,,1.0
bank of new york (bny),,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,Financial services,,,,,1.0
general electric (ge aerospace),,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,Aerospace and defense,,,,1.0,1.0
westpac banking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Financial services,,,,1.0,1.0
qnb group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Financial services,,,,,
natwest group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,Financial services,1.0,1.0,,1.0,1.0
lithia motors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,Retail,,,,,1.0
cbre group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,Real estate,,1.0,,1.0,1.0
ge vernova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,Energy and utilities,,,,1.0,1.0
icici bank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,Financial services,,,1.0,,
shandong gold group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,Metals and mining,,,,,
international airlines group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,Transportation and logistics,,,,1.0,1.0
pnc financial services group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,Financial services,,,,,1.0
perusahaan listrik negara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia,Energy and utilities,,,,1.0,1.0
st. james's place,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe,Financial services,,,,1.0,1.0
guidewell mutual holding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,North America,Health care and pharmaceuticals,,,,,
