company,sector,region,re100,sbti,cn,nz,cc
basf,Chemicals,Europe,00000,00000,10000,01111,01011
bayer,Chemicals,Europe,00000,11111,11000,11111,01111
beijing automotive group,Automotive,Asia,00000,00000,01101,00000,00000
beijing jianlong heavy industry group,Metals and mining,Asia,00000,00000,00000,00000,00000
berkshire hathaway,Financial services,North America,00000,00000,00000,00000,00000
best buy,Retail,North America,00000,11111,11000,00111,01011
bharat petroleum,Oil and gas,Asia,00000,00000,00000,01111,00010
bhp group,Metals and mining,Other,00000,00000,00000,11111,01011
bmw group,Automotive,Europe,11111,11111,11100,00011,01111
bnp paribas,Financial services,Europe,00000,00000,11111,11000,01011
boehringer ingelheim,Health care and pharmaceuticals,Europe,0----,0----,0----,0----,0----
boeing,Aerospace and defense,North America,00000,00000,00010,11100,01011
bosch group,Automotive,Europe,00000,00001,11111,00000,00111
bouygues,Engineering and construction,Europe,00000,00010,00000,00001,00000
bp,Oil and gas,Europe,00000,00000,00000,11111,01011
bridgestone,Automotive,Asia,000--,001--,111--,000--,0-10--
bristol-myers squibb,Health care and pharmaceuticals,North America,00000,00011,11100,00011,00110
british american tobacco,Household and personal products,Europe,00000,11111,11000,01111,00110
broadcom,Technology,North America,--000,--000,--000,--000,--000
brookfield,Financial services,North America,---00,---00,---00,---11,---01
brookfield asset management,Financial services,North America,000--,000--,000--,111--,0-10--
bt group,Telecommunications and media,Europe,1----,1----,0----,1----,0----
byd,Automotive,Asia,-0000,-0000,-0001,-0000,-0000
caixa economica federal,Financial services,Other,--000,--000,--000,--001,--001
canadian imperial bank of commerce,Financial services,North America,---00,---00,---00,---11,---11
canadian natural resources,Energy and utilities,North America,--0--,--0--,--0--,--0--,--0--
canon,Technology,Asia,00---,00---,00---,11---,01---
capital one financial,Financial services,North America,11110,00000,00110,00001,01-1-1-1
cardinal health,Health care and pharmaceuticals,North America,00000,00011,00000,00000,00000
carmax,Retail,North America,-00--,-00--,-00--,-11--,-10--
carrefour,Retail,Europe,00000,11111,01111,00000,00100
caterpillar,Engineering and construction,North America,00000,00000,00000,00000,00000
cathay financial holding,Financial services,Asia,00---,00---,00---,00---,00---
cbre group,Real estate,North America,----0,----1,----0,----1,----1
cenovus energy,Metals and mining,North America,-0000,-0000,-0000,-1111,-1001
centene,Health care and pharmaceuticals,North America,00000,00000,00000,00000,00000
centrica,Energy and utilities,Europe,0--0-,0--0-,0--0-,1--1-,0--0-
cfe,Energy and utilities,Other,---00,---00,---00,---00,---00
charter communications,Telecommunications and media,North America,00000,00000,11111,00000,01000
chemchina,Chemicals,Asia,0----,0----,0----,0----,0----
chengdu xingcheng investment group,Engineering and construction,Asia,-00--,-00--,-00--,-00--,-00--
cheniere energy,Energy and utilities,North America,--0--,--0--,--0--,--0--,--0--
chery holding group,Automotive,Asia,0--00,0--00,0--00,0--00,0--00
chevron,Oil and gas,North America,00000,00000,00000,01111,00011
china aerospace science & industry,Aerospace and defense,Asia,000--,000--,000--,000--,000--
china aerospace science & technology,Aerospace and defense,Asia,00---,00---,00---,00---,00---
china baowu steel group,Metals and mining,Asia,00000,00000,11110,00000,01001
china communications construction,Engineering and construction,Asia,00000,00000,00000,00000,0000-1
china construction bank,Financial services,Asia,00000,00000,00000,00000,00000
china datang,Energy and utilities,Asia,00000,00000,10000,00000,00000
china electronics,Technology,Asia,00000,00000,00000,00000,00000
china electronics technology group,Aerospace and defense,Asia,0000-,0000-,0000-,0000-,0000-
china energy engineering group,Engineering and construction,Asia,00000,00000,00000,00000,00000
china energy investment,Energy and utilities,Asia,00000,00000,00000,00000,00000
china everbright group,Financial services,Asia,00---,00---,01---,00---,00---
china evergrande group,Real estate,Asia,0----,0----,0----,0----,0----
china faw group,Automotive,Asia,00000,00000,00000,00000,00000
china general technology,Financial services,Asia,0---0,0---0,0---0,0---0,0---0
china huadian,Energy and utilities,Asia,00000,00000,00000,00000,00000
china huaneng group,Energy and utilities,Asia,00000,00000,00001,00000,00000
china life insurance,Financial services,Asia,00000,00000,00000,00000,00000
china merchants bank,Financial services,Asia,00000,00000,00001,00000,00000
