year,company ,region,sector ,re100,sbti,cn,nz,cc,,,
2021,Rite Aid,North America,Health care and pharmaceuticals,,,,,,,,
2021,Roche Group,Europe,Oil and gas,,,,1,,,,
2021,Rosneft Oil,Europe,"Food, beverages and agriculture",,,,,,,,
2021,Royal Ahold Delhaize,Europe,Financial services,,1,,1,,,,
2021,Royal Bank of Canada,North America,Oil and gas,,,1,1,,,,
2021,Royal Dutch Shell,Europe,Automotive,,,,1,,,,
2021,SAIC Motor,Asia,Industrial goods,,,,,,,,
2021,Saint-Gobain,Europe,Financial services,,1,1,,,,,
2021,Samsung C&T,Asia,Technology,,,,,,,,
2021,Samsung Electronics,Asia,Financial services,,,,,,,,
2021,Samsung Life Insurance,Asia,Health care and pharmaceuticals,,,,,,,,
2021,Sanofi,Europe,Technology,1,1,1,,,,,
2021,SAP,Europe,Oil and gas,1,1,1,,,,,
2021,Saudi Aramco,Other,Financial services,,,,,,,,
2021,Sberbank,Europe,Technology,,,1,,,,,
2021,Schneider Electric,Europe,Retail,1,1,1,,,,,
2021,Seven & I Holdings,Asia,Oil and gas,1,,,1,,,,
2021,Shaanxi Coal & Chemical Industry,Asia,Oil and gas,,,,,,,,
2021,Shaanxi Yanchang Petroleum (Group),Asia,Oil and gas,,,,,,,,
2021,Shandong Energy Group,Asia,Industrial goods,,,,,,,,
2021,Shandong Iron & Steel Group,Asia,Retail,,,,,,,,
2021,Shandong Weiqiao Pioneering Group,North America,Engineering and construction,,,,,,,,
2021,Shanghai Construction Group,Asia,Health care and pharmaceuticals,,,,,,,,
2021,Shanghai Pharmaceuticals Holding,Asia,Financial services,,,,,,,,
2021,Shanghai Pudong Development Bank,Asia,Oil and gas,,,,,,,,
2021,Shanxi Coking Coal Group,Asia,Chemicals,,,,,,,,
2021,Shenghong Holding Group,Asia,Financial services,,,,,,,,
2021,Shenzhen Investment Holdings,Asia,Industrial goods,,,,,,,,
2021,Shougang Group,Asia,Industrial goods,,,,,,,,
2021,Siemens,Europe,Energy and utilities,1,1,1,,,,,
2021,Siemens Energy,Europe,Chemicals,,,1,,,,,
2021,Sinochem,Asia,Industrial goods,,,,,,,,
2021,Sinomach,Asia,Oil and gas,,,,,,,,
2021,Sinopec Group,Asia,Health care and pharmaceuticals,,,1,,,,,
2021,Sinopharm,Asia,Oil and gas,,,,,,,,
2021,SK,Asia,Technology,1,,,1,,,,
2021,SK Hynix,Asia,Transportation and logistics,1,,,,,,,
2021,SNCF Group,Europe,Financial services,,1,1,,,,,
2021,Société Générale,Europe,Telecommunications and media,,,1,,,,,
2021,SoftBank Group,Asia,Financial services,,1,1,,,,,
2021,Sompo Holdings,Asia,Technology,,,,1,,,,
2021,Sony,Asia,Financial services,1,1,,1,,,,
2021,State Bank of India,Asia,Financial services,,,1,,,,,
2021,State Farm Insurance,North America,Energy and utilities,,,,,,,,
2021,State Grid,Asia,Energy and utilities,,,,,,,,
2021,State Power Investment,Asia,Financial services,,,,,,,,
2021,StoneX Group,North America,Automotive,,,,,,,,
2021,Subaru,Asia,Financial services,,,1,,,,,
2021,Sumitomo,Asia,Automotive,,,1,,,,,
2021,Sumitomo Electric Industries,Asia,Financial services,,1,1,,,,,
2021,Sumitomo Life Insurance,Asia,Financial services,,,,1,,,,
2021,Sumitomo Mitsui Financial Group,Asia,Financial services,,,,1,,,,
2021,Sun Life Financial,North America,Real estate,,,1,,,,,
2021,Sunac China Holdings,Asia,Retail,,,,,,,,
2021,Suning.com Group,Asia,Automotive,,,,,,,,
2021,Suzuki Motor,Asia,Financial services,,,,,,,,
2021,Swiss Re,Europe,Technology,1,,1,1,,,,
2021,Synnex,North America,"Food, beverages and agriculture",,,,,,,,
2021,Sysco,North America,Financial services,,,,,,,,
2021,Taikang Insurance Group,Asia,Technology,,,,,,,,
2021,Taiwan Semiconductor Manufacturing,Asia,Health care and pharmaceuticals,1,,,1,,,,
2021,Takeda Pharmaceutical,Asia,Financial services,,1,1,1,,,,
2021,Talanx,Europe,Retail,,,1,,,,,
2021,Target,North America,Automotive,1,1,,1,,,,
2021,Tata Motors,Asia,Telecommunications and media,1,,,1,,,,
2021,Telefónica,Europe,Retail,1,1,,1,,,,
2021,Tencent Holdings,Asia,"Food, beverages and agriculture",,,,,,,,
2021,Tesco,Europe,Automotive,1,1,,1,,,,
2021,Tesla,North America,Technology,,,,,,,,
2021,Thermo Fisher Scientific,North America,Engineering and construction,,,,1,,,,
2021,ThyssenKrupp,Europe,Financial services,,1,1,,,,,
2021,TIAA,North America,Retail,,,,,,,,
2021,TJX,North America,Financial services,,,,,,,,
2021,Tokio Marine Holdings,Asia,Energy and utilities,,,1,,,,,
2021,Tokyo Electric Power,Asia,Industrial goods,,,,1,,,,
2021,TongLing Nonferrous Metals Group,Asia,Financial services,,,,,,,,
2021,Toronto-Dominion Bank,North America,Technology,,,1,1,,,,
