company,sector,nz_2024,nz_2025,gained_nz,lost_nz
Tsingshan Holding Group,Metals and mining,0.0,0.0,False,False
Tyson Foods,"Food, beverages and agriculture",1.0,1.0,False,False
U.S. Bancorp,Financial services,1.0,1.0,False,False
U.S. Postal Service,Transportation and logistics,0.0,0.0,False,False
UBS Group,Financial services,1.0,1.0,False,False
US Foods Holding,"Food, beverages and agriculture",,0.0,False,False
US Foods Holding,Retail,0.0,,False,False
USAA,Financial services,0.0,0.0,False,False
Uber Technologies,Retail,,1.0,False,False
Uber Technologies,Technology,1.0,,False,False
UniCredit Group,Financial services,1.0,1.0,False,False
Unilever,Household and personal products,1.0,1.0,False,False
Uniper,Energy and utilities,0.0,0.0,False,False
United Airlines Holdings,Transportation and logistics,1.0,1.0,False,False
United Parcel Service,Transportation and logistics,0.0,0.0,False,False
UnitedHealth Group,Health care and pharmaceuticals,1.0,1.0,False,False
VTB Bank,Financial services,0.0,0.0,False,False
Vale,Metals and mining,1.0,1.0,False,False
Valero Energy,Oil and gas,0.0,0.0,False,False
Veolia Environnement,Energy and utilities,1.0,1.0,False,False
Verizon Communications,Telecommunications and media,1.0,1.0,False,False
Vinci,Engineering and construction,0.0,1.0,True,False
Visa,Financial services,0.0,1.0,True,False
Vodafone Group,Telecommunications and media,1.0,1.0,False,False
Volkswagen,Automotive,0.0,0.0,False,False
Volvo,Automotive,0.0,,False,False
Volvo,Engineering and construction,,1.0,False,False
Walgreens Boots Alliance,Health care and pharmaceuticals,,0.0,False,False
Walgreens Boots Alliance,Retail,1.0,,False,False
Walmart,Retail,1.0,1.0,False,False
Walt Disney,Telecommunications and media,1.0,1.0,False,False
Warner Bros. Discovery,Telecommunications and media,0.0,1.0,True,False
Wells Fargo,Financial services,1.0,0.0,False,True
Wilmar International,"Food, beverages and agriculture",0.0,1.0,True,False
Woolworths Group,Retail,1.0,1.0,False,False
World Kinect,Energy and utilities,0.0,1.0,True,False
Wuchan Zhongda Group,Financial services,0.0,0.0,False,False
X5 Retail Group,Retail,0.0,0.0,False,False
XMXYG,Financial services,0.0,0.0,False,False
Xiamen C&D,Financial services,0.0,0.0,False,False
Xiamen ITG Holding Group,Financial services,0.0,0.0,False,False
Xiaomi,Industrial goods,0.0,,False,False
Xiaomi,Retail,,0.0,False,False
ZF Friedrichshafen,Automotive,0.0,0.0,False,False
Zhejiang Communications Investment Group,Transportation and logistics,0.0,0.0,False,False
Zhejiang Geely Holding Group,Automotive,0.0,0.0,False,False
Zhejiang Hengyi Group,Chemicals,0.0,0.0,False,False
